collection,token_display,token_onchain,ipfs_file,local_file,price_usd,thumb_url,ipfs_url
coffee,1,0,0.jpg,coffee-001.webp,$20,https://wsrv.nl/?url=https%3A%2F%2Fnftstorage.link%2Fipfs%2Fbafybeicvcsnhemudkvyyd2wwf6hdwhcc4h3rd6gu4i2v57afbhjjo4nqlq%2F0.jpg&w=240&q=80&output=webp,https://nftstorage.link/ipfs/bafybeicvcsnhemudkvyyd2wwf6hdwhcc4h3rd6gu4i2v57afbhjjo4nqlq/0.jpg
coffee,2,1,1.jpg,coffee-002.webp,$20,https://wsrv.nl/?url=https%3A%2F%2Fnftstorage.link%2Fipfs%2Fbafybeicvcsnhemudkvyyd2wwf6hdwhcc4h3rd6gu4i2v57afbhjjo4nqlq%2F1.jpg&w=240&q=80&output=webp,https://nftstorage.link/ipfs/bafybeicvcsnhemudkvyyd2wwf6hdwhcc4h3rd6gu4i2v57afbhjjo4nqlq/1.jpg
coffee,3,2,2.jpg,coffee-003.webp,$20,https://wsrv.nl/?url=https%3A%2F%2Fnftstorage.link%2Fipfs%2Fbafybeicvcsnhemudkvyyd2wwf6hdwhcc4h3rd6gu4i2v57afbhjjo4nqlq%2F2.jpg&w=240&q=80&output=webp,https://nftstorage.link/ipfs/bafybeicvcsnhemudkvyyd2wwf6hdwhcc4h3rd6gu4i2v57afbhjjo4nqlq/2.jpg
coffee,4,3,3.jpg,coffee-004.webp,$20,https://wsrv.nl/?url=https%3A%2F%2Fnftstorage.link%2Fipfs%2Fbafybeicvcsnhemudkvyyd2wwf6hdwhcc4h3rd6gu4i2v57afbhjjo4nqlq%2F3.jpg&w=240&q=80&output=webp,https://nftstorage.link/ipfs/bafybeicvcsnhemudkvyyd2wwf6hdwhcc4h3rd6gu4i2v57afbhjjo4nqlq/3.jpg
coffee,5,4,4.jpg,coffee-005.webp,$20,https://wsrv.nl/?url=https%3A%2F%2Fnftstorage.link%2Fipfs%2Fbafybeicvcsnhemudkvyyd2wwf6hdwhcc4h3rd6gu4i2v57afbhjjo4nqlq%2F4.jpg&w=240&q=80&output=webp,https://nftstorage.link/ipfs/bafybeicvcsnhemudkvyyd2wwf6hdwhcc4h3rd6gu4i2v57afbhjjo4nqlq/4.jpg
coffee,6,5,5.jpg,coffee-006.webp,$20,https://wsrv.nl/?url=https%3A%2F%2Fnftstorage.link%2Fipfs%2Fbafybeicvcsnhemudkvyyd2wwf6hdwhcc4h3rd6gu4i2v57afbhjjo4nqlq%2F5.jpg&w=240&q=80&output=webp,https://nftstorage.link/ipfs/bafybeicvcsnhemudkvyyd2wwf6hdwhcc4h3rd6gu4i2v57afbhjjo4nqlq/5.jpg
coffee,7,6,6.jpg,coffee-007.webp,$20,https://wsrv.nl/?url=https%3A%2F%2Fnftstorage.link%2Fipfs%2Fbafybeicvcsnhemudkvyyd2wwf6hdwhcc4h3rd6gu4i2v57afbhjjo4nqlq%2F6.jpg&w=240&q=80&output=webp,https://nftstorage.link/ipfs/bafybeicvcsnhemudkvyyd2wwf6hdwhcc4h3rd6gu4i2v57afbhjjo4nqlq/6.jpg
coffee,8,7,7.jpg,coffee-008.webp,$20,https://wsrv.nl/?url=https%3A%2F%2Fnftstorage.link%2Fipfs%2Fbafybeicvcsnhemudkvyyd2wwf6hdwhcc4h3rd6gu4i2v57afbhjjo4nqlq%2F7.jpg&w=240&q=80&output=webp,https://nftstorage.link/ipfs/bafybeicvcsnhemudkvyyd2wwf6hdwhcc4h3rd6gu4i2v57afbhjjo4nqlq/7.jpg
coffee,9,8,8.jpg,coffee-009.webp,$20,https://wsrv.nl/?url=https%3A%2F%2Fnftstorage.link%2Fipfs%2Fbafybeicvcsnhemudkvyyd2wwf6hdwhcc4h3rd6gu4i2v57afbhjjo4nqlq%2F8.jpg&w=240&q=80&output=webp,https://nftstorage.link/ipfs/bafybeicvcsnhemudkvyyd2wwf6hdwhcc4h3rd6gu4i2v57afbhjjo4nqlq/8.jpg
coffee,10,9,9.jpg,coffee-010.webp,$20,https://wsrv.nl/?url=https%3A%2F%2Fnftstorage.link%2Fipfs%2Fbafybeicvcsnhemudkvyyd2wwf6hdwhcc4h3rd6gu4i2v57afbhjjo4nqlq%2F9.jpg&w=240&q=80&output=webp,https://nftstorage.link/ipfs/bafybeicvcsnhemudkvyyd2wwf6hdwhcc4h3rd6gu4i2v57afbhjjo4nqlq/9.jpg
